,bw,loglambda,contam_data,IFsupnorm_ML,IFsupnorm_SM
5,5.0,-12.0,30.0,93.37762895933821,7225.669153020106
6,5.0,-12.0,35.0,79.28844662231072,7206.078380776209
7,5.0,-12.0,40.0,53.43175585382909,1789.8916959682958
8,5.0,-12.0,45.0,23.74440103025144,547.9790622975056
9,5.0,-12.0,50.0,6.851524084178884,84.83504550682142
10,5.0,-12.0,55.0,5.455793415666488,25.053048942078604
11,5.0,-12.0,60.0,8.450390635835525,27.478130684809976
12,5.0,-12.0,65.0,10.441962670139304,35.79935847907745
13,5.0,-12.0,70.0,7.841844924491248,23.364012966016645
14,5.0,-12.0,75.0,3.9266468294290036,8.622198462502562
15,5.0,-12.0,80.0,2.8215688133803596,10.34073576842287
16,5.0,-12.0,85.0,3.770207628726485,15.183074624101955
17,5.0,-12.0,90.0,7.951328775781974,61.41563237577685
18,5.0,-12.0,95.0,21.44215967397667,70.67245954878976
19,5.0,-12.0,100.0,42.47996157130274,1832.5594916001044
20,5.0,-12.0,105.0,61.483578818356754,4843.29630876764
21,5.0,-12.0,110.0,74.19343206353268,7238.703190903795
22,5.0,-12.0,115.0,82.45874441201195,6376.088151215302
23,5.0,-12.0,120.0,88.40336187819808,6369.352513696247
24,5.0,-12.0,125.0,93.01561813465575,6446.499724226662
25,5.0,-12.0,130.0,96.40982511800367,6488.805778423481
26,5.0,-12.0,135.0,98.50250425717988,6509.186484052502
27,5.0,-12.0,140.0,99.62430281873935,6519.576236080178
28,5.0,-12.0,145.0,100.17285678395993,6523.562269848468
29,5.0,-12.0,150.0,100.41180334524746,6526.910805958352
30,5.0,-12.0,155.0,100.49344436885477,6528.245537350372
31,5.0,-12.0,160.0,100.52051729931222,6529.372497114127
32,5.0,-12.0,165.0,100.54560475746399,6530.6500654278425
33,5.0,-12.0,170.0,100.56374742385188,6530.7623153906125
34,5.0,-12.0,175.0,100.56941705407496,6532.421863984834
35,5.0,-12.0,180.0,100.57034056375969,6532.507236845457
36,5.0,-12.0,185.0,100.57089817722442,6533.866964460364
37,5.0,-12.0,190.0,100.57023762562167,6534.365032463048
38,5.0,-12.0,195.0,100.57106819823147,6535.062128501068
39,5.0,-12.0,200.0,100.56989796964899,6535.961964261301
40,5.0,-12.0,205.0,100.5711667257998,6536.044270845831
41,5.0,-12.0,210.0,100.56950473967419,6537.333106931292
42,5.0,-12.0,215.0,100.57121351028897,6536.9693644977715
43,5.0,-12.0,220.0,100.56914229956604,6538.505970976367
44,5.0,-12.0,225.0,100.57120899429961,6538.502695194461
45,5.0,-12.0,230.0,100.56957790831689,6539.503141924685
46,5.0,-12.0,235.0,100.57115322388199,6539.851329050244
47,5.0,-12.0,240.0,100.5699622694678,6540.343426790194
48,5.0,-12.0,245.0,100.5710462039957,6541.034788582939
49,5.0,-12.0,250.0,100.57029538382523,6541.0426211895365
50,5.0,-12.0,255.0,100.57088793534774,6542.069534949153
51,5.0,-12.0,260.0,100.5705772508989,6541.61409071606
52,5.0,-12.0,265.0,100.57067841827916,6542.9695442022285
53,5.0,-12.0,270.0,100.57080787014883,6542.599400989271
54,5.0,-12.0,275.0,100.57041765318786,6543.746759424624
55,5.0,-12.0,280.0,100.57098724113445,6543.6898833806135
56,5.0,-12.0,285.0,100.57010564058544,6544.411447423302
57,5.0,-12.0,290.0,100.5711151328228,6544.66270950422
58,5.0,-12.0,295.0,100.56932279660913,6544.972482866269
59,5.0,-12.0,300.0,100.45604397161867,6545.527119339131
0,7.0,-8.0,5.0,98.74190210449996,1095.5299994158518
1,7.0,-8.0,10.0,108.82480904446723,507.8587023356066
2,7.0,-8.0,15.0,110.15986872056516,313.23140129846655
3,7.0,-8.0,20.0,108.28419689311986,217.24218458483838
4,7.0,-8.0,25.0,102.70990510688094,159.77121147523712
5,7.0,-8.0,30.0,90.3563589704639,120.92411245448764
6,7.0,-8.0,35.0,69.37676564320938,103.8089718493903
7,7.0,-8.0,40.0,42.79370113915526,113.39601851544923
8,7.0,-8.0,45.0,18.761686416426393,53.36291869459742
9,7.0,-8.0,50.0,5.756983677227545,12.108573419263635
10,7.0,-8.0,55.0,4.074443925912163,5.424702628649524
11,7.0,-8.0,60.0,5.63889086692182,9.78404960133128
12,7.0,-8.0,65.0,6.528010794861316,9.893732294916191
13,7.0,-8.0,70.0,5.3275925719225015,8.685464429025513
14,7.0,-8.0,75.0,3.0996663975573213,5.396976329125391
15,7.0,-8.0,80.0,2.3259979279126597,3.3951867093849897
16,7.0,-8.0,85.0,2.619892266273016,4.596258767964989
17,7.0,-8.0,90.0,6.890919152341191,8.091732848595878
18,7.0,-8.0,95.0,18.290352018111022,24.737688647661347
19,7.0,-8.0,100.0,35.81066008273659,54.197911434137545
20,7.0,-8.0,105.0,54.89621979333137,66.6590874465065
21,7.0,-8.0,110.0,71.42754878458213,71.47012363067218
22,7.0,-8.0,115.0,83.90533642754683,69.01957696312094
23,7.0,-8.0,120.0,92.86677801703114,69.94877268532285
24,7.0,-8.0,125.0,99.31904976838801,71.19667731414853
25,7.0,-8.0,130.0,103.91475382201598,72.1049811477813
26,7.0,-8.0,135.0,107.01439062978757,72.92689088822107
27,7.0,-8.0,140.0,108.95582408775972,73.72380300325376
28,7.0,-8.0,145.0,110.06518681361754,74.50097406689548
29,7.0,-8.0,150.0,110.62620242093502,75.25400647694885
30,7.0,-8.0,155.0,110.87640296330825,75.97920229337251
31,7.0,-8.0,160.0,110.98230587759517,76.67733453338977
32,7.0,-8.0,165.0,111.03400100923722,77.34469016589507
33,7.0,-8.0,170.0,111.06249707156834,77.98208281336794
34,7.0,-8.0,175.0,111.07624862363608,78.59095943862316
35,7.0,-8.0,180.0,111.08131382154696,79.17559453268996
36,7.0,-8.0,185.0,111.083153290636,79.73506418019277
37,7.0,-8.0,190.0,111.08322593989328,80.27037707780893
38,7.0,-8.0,195.0,111.08376897143657,80.78245519090154
39,7.0,-8.0,200.0,111.08316166271592,81.27213821677425
40,7.0,-8.0,205.0,111.08384218759682,81.74019030437191
41,7.0,-8.0,210.0,111.0829545464469,82.18845541865983
42,7.0,-8.0,215.0,111.08386758019861,82.62509992784473
43,7.0,-8.0,220.0,111.0827609721774,83.04267727405711
44,7.0,-8.0,225.0,111.08386518969482,83.441672260738
45,7.0,-8.0,230.0,111.08299372186892,83.82253211048452
46,7.0,-8.0,235.0,111.08383539493616,84.19657548563175
47,7.0,-8.0,240.0,111.08319908305475,84.55500872057841
48,7.0,-8.0,245.0,111.08377821599191,84.89690216611245
49,7.0,-8.0,250.0,111.08337706244953,85.22690155022927
50,7.0,-8.0,255.0,111.08369365526727,85.55051549390713
51,7.0,-8.0,260.0,111.08352766061813,85.85878613250402
52,7.0,-8.0,265.0,111.08358171306776,86.15301426956474
53,7.0,-8.0,270.0,111.08365087746819,86.446242066203
54,7.0,-8.0,275.0,111.08344238788703,86.725037425751
55,7.0,-8.0,280.0,111.08374671798771,86.99013037867314
56,7.0,-8.0,285.0,111.08327362779136,87.25644454545589
57,7.0,-8.0,290.0,111.0827901647653,87.50902931804593
58,7.0,-8.0,295.0,111.01995097326522,87.7503779876454
59,7.0,-8.0,300.0,109.8056404531107,87.99253437390436
0,7.0,-10.0,5.0,99.98864348620629,5930.922826213598
1,7.0,-10.0,10.0,110.28031856746523,2758.9870440311934
2,7.0,-10.0,15.0,111.66900142525549,1717.3663177950646
3,7.0,-10.0,20.0,109.74916631424492,1221.773833308769
4,7.0,-10.0,25.0,104.05214955049402,968.9181106688392
5,7.0,-10.0,30.0,91.47239972813104,791.9252997706029
6,7.0,-10.0,35.0,70.16331979693113,420.2007097677012
7,7.0,-10.0,40.0,43.21654396991015,439.21423892872014
8,7.0,-10.0,45.0,18.89537560518928,178.76872701392176
9,7.0,-10.0,50.0,5.7647104347475775,21.06129814664426
10,7.0,-10.0,55.0,4.080945903752742,8.106759824353382
11,7.0,-10.0,60.0,5.656024978744512,13.318072348705245
12,7.0,-10.0,65.0,6.551248951941702,14.193619470064922
13,7.0,-10.0,70.0,5.345496509213454,12.13514384395098
14,7.0,-10.0,75.0,3.1065738938917953,6.5792632901375825
15,7.0,-10.0,80.0,2.3401587740865537,4.2608601191914675
16,7.0,-10.0,85.0,2.6224803508863026,6.197392423987869
17,7.0,-10.0,90.0,6.9261709682599815,16.212082211483736
18,7.0,-10.0,95.0,18.47471004786616,69.88203735453568
19,7.0,-10.0,100.0,36.256090537939656,293.03017991954005
20,7.0,-10.0,105.0,55.63704637492428,404.7404205943614
21,7.0,-10.0,110.0,72.42504131835936,476.0553866041475
22,7.0,-10.0,115.0,85.08924077851177,495.19157292554485
23,7.0,-10.0,120.0,94.17441846714247,479.66505807971663
24,7.0,-10.0,125.0,100.70940443770304,488.96357597077787
25,7.0,-10.0,130.0,105.36267425340462,494.2957566686208
26,7.0,-10.0,135.0,108.50296373657287,498.05983930394933
27,7.0,-10.0,140.0,110.47193401248556,501.49921520122655
28,7.0,-10.0,145.0,111.59839907536906,504.81560700500546
29,7.0,-10.0,150.0,112.1691516259471,508.0300180853866
30,7.0,-10.0,155.0,112.4242796019903,511.13487222132346
