,bw,loglambda,contam_data,IFsupnorm
86,5.0,-10.0,346.0,74.43249529065835
87,5.0,-10.0,350.0,72.6567479137499
88,5.0,-10.0,354.0,51.92539468491359
89,5.0,-10.0,358.0,59.73053374399277
90,5.0,-10.0,362.0,71.49668060860108
91,5.0,-10.0,366.0,52.86791921079386
92,5.0,-10.0,370.0,66.99657234084751
93,5.0,-10.0,374.0,82.68687295342598
94,5.0,-10.0,378.0,67.77321895772224
95,5.0,-10.0,382.0,57.65412954967011
96,5.0,-10.0,386.0,48.94749753295731
97,5.0,-10.0,390.0,52.968821448969884
98,5.0,-10.0,394.0,47.5314757222446
99,5.0,-10.0,398.0,50.32603163881228
100,5.0,-10.0,402.0,47.23478135441126
101,5.0,-10.0,406.0,60.52711017543968
0,5.0,-12.0,2.0,40.328862653291694
1,5.0,-12.0,6.0,67.40216137245429
2,5.0,-12.0,10.0,75.10526013470803
3,5.0,-12.0,14.0,64.36434557462563
4,5.0,-12.0,18.0,55.64369962432033
5,5.0,-12.0,22.0,81.1844479514606
6,5.0,-12.0,26.0,54.80150003084492
7,5.0,-12.0,30.0,56.14866723943719
8,5.0,-12.0,34.0,49.033659672128906
9,5.0,-12.0,38.0,28.824757390816508
10,5.0,-12.0,42.0,20.559032189044046
11,5.0,-12.0,46.0,35.46003373577553
12,5.0,-12.0,50.0,10.265122772594948
13,5.0,-12.0,54.0,15.949891512240278
14,5.0,-12.0,58.0,8.321510067765292
15,5.0,-12.0,62.0,10.888293026995932
16,5.0,-12.0,66.0,6.101672084013332
17,5.0,-12.0,70.0,32.29201301160241
18,5.0,-12.0,74.0,32.02203365840865
19,5.0,-12.0,78.0,21.209638900032402
20,5.0,-12.0,82.0,25.984832511518196
21,5.0,-12.0,86.0,18.241410779644035
22,5.0,-12.0,90.0,22.24202680635854
23,5.0,-12.0,94.0,14.965150585306041
24,5.0,-12.0,98.0,18.000906175112817
25,5.0,-12.0,102.0,41.280208330095746
26,5.0,-12.0,106.0,33.684410352819924
27,5.0,-12.0,110.0,42.94139433271816
28,5.0,-12.0,114.0,40.47440934004736
29,5.0,-12.0,118.0,44.996636422284084
30,5.0,-12.0,122.0,48.60217173331156
31,5.0,-12.0,126.0,39.5610712925617
32,5.0,-12.0,130.0,70.77263812929974
33,5.0,-12.0,134.0,80.55674600795352
34,5.0,-12.0,138.0,76.148519024159
35,5.0,-12.0,142.0,76.84704882672358
36,5.0,-12.0,146.0,50.12435185605501
37,5.0,-12.0,150.0,68.26314071781633
38,5.0,-12.0,154.0,57.05970821975854
39,5.0,-12.0,158.0,51.57633911628267
40,5.0,-12.0,162.0,70.02910047793456
41,5.0,-12.0,166.0,53.06971809848526
42,5.0,-12.0,170.0,50.031007860438436
43,5.0,-12.0,174.0,57.31464456773958
44,5.0,-12.0,178.0,67.94808706754141
45,5.0,-12.0,182.0,70.2827036362851
46,5.0,-12.0,186.0,53.26246303092139
47,5.0,-12.0,190.0,41.49162649911558
48,5.0,-12.0,194.0,72.44192354438815
49,5.0,-12.0,198.0,61.43111203696383
50,5.0,-12.0,202.0,70.38435689215163
51,5.0,-12.0,206.0,44.8438702588603
52,5.0,-12.0,210.0,64.19798824464198
53,5.0,-12.0,214.0,69.45705661839034
54,5.0,-12.0,218.0,79.59306976961739
55,5.0,-12.0,222.0,67.40041861157894
56,5.0,-12.0,226.0,62.591634730252196
57,5.0,-12.0,230.0,77.66432421845373
58,5.0,-12.0,234.0,70.83907034660471
59,5.0,-12.0,238.0,44.929394449604615
60,5.0,-12.0,242.0,53.41634792320649
61,5.0,-12.0,246.0,43.382204775318776
62,5.0,-12.0,250.0,51.900878349511544
63,5.0,-12.0,254.0,65.70769934657604
64,5.0,-12.0,258.0,64.29233724839096
65,5.0,-12.0,262.0,54.055017947495244
66,5.0,-12.0,266.0,65.80007899241672
67,5.0,-12.0,270.0,67.76033195738522
68,5.0,-12.0,274.0,76.42570673220382
69,5.0,-12.0,278.0,53.37418649851245
70,5.0,-12.0,282.0,68.24490544476832
71,5.0,-12.0,286.0,75.95380163782912
72,5.0,-12.0,290.0,68.3429793665455
73,5.0,-12.0,294.0,69.16877838422131
74,5.0,-12.0,298.0,67.52935571645496
75,5.0,-12.0,302.0,75.85364165527781
76,5.0,-12.0,306.0,51.289660663428215
77,5.0,-12.0,310.0,64.09358801221666
78,5.0,-12.0,314.0,61.3656841326942
79,5.0,-12.0,318.0,84.54577540249537
80,5.0,-12.0,322.0,56.752465208100666
81,5.0,-12.0,326.0,66.54662168834538
82,5.0,-12.0,330.0,54.47021471858417
83,5.0,-12.0,334.0,52.24919343064806
84,5.0,-12.0,338.0,93.98384277824427
85,5.0,-12.0,342.0,64.31308898494693
86,5.0,-12.0,346.0,74.52586356624575
87,5.0,-12.0,350.0,72.75048249885248
88,5.0,-12.0,354.0,51.98609550065203
89,5.0,-12.0,358.0,59.797304293167386
90,5.0,-12.0,362.0,71.59639400845565
91,5.0,-12.0,366.0,52.92060847809892
92,5.0,-12.0,370.0,67.0830545699975
93,5.0,-12.0,374.0,82.79937853386234
94,5.0,-12.0,378.0,67.8498156745961
95,5.0,-12.0,382.0,57.72294197398935
96,5.0,-12.0,386.0,48.995508109612366
97,5.0,-12.0,390.0,53.02233817512356
98,5.0,-12.0,394.0,47.57596534001708
99,5.0,-12.0,398.0,50.37667464271396
100,5.0,-12.0,402.0,47.27580582018728
101,5.0,-12.0,406.0,60.58790498877972
0,7.0,-8.0,2.0,68.53156143762014
1,7.0,-8.0,6.0,76.80279865521189
2,7.0,-8.0,10.0,84.95066932589437
3,7.0,-8.0,14.0,77.27887370937997
4,7.0,-8.0,18.0,80.06978494011041
5,7.0,-8.0,22.0,69.84903128549666
6,7.0,-8.0,26.0,67.05624155998488
7,7.0,-8.0,30.0,74.89599098038522
8,7.0,-8.0,34.0,67.12315808566737
9,7.0,-8.0,38.0,58.639893652283355
10,7.0,-8.0,42.0,40.51998969532257
11,7.0,-8.0,46.0,41.95074597321859
12,7.0,-8.0,50.0,19.076395205493156
13,7.0,-8.0,54.0,23.596631358975404
14,7.0,-8.0,58.0,8.231421193885113
15,7.0,-8.0,62.0,24.616024910839272
16,7.0,-8.0,66.0,21.97122256012256
17,7.0,-8.0,70.0,11.403294909339822
18,7.0,-8.0,74.0,21.653764033377975
19,7.0,-8.0,78.0,10.370442314640659
20,7.0,-8.0,82.0,18.325523027237022
21,7.0,-8.0,86.0,29.325860457909926
22,7.0,-8.0,90.0,10.304867499152238
23,7.0,-8.0,94.0,28.732615185032717
24,7.0,-8.0,98.0,55.14237265737737
25,7.0,-8.0,102.0,47.654603696474275
26,7.0,-8.0,106.0,60.46776439717845
27,7.0,-8.0,110.0,62.52371008103741
28,7.0,-8.0,114.0,65.89189432623348
29,7.0,-8.0,118.0,75.01148223642737
30,7.0,-8.0,122.0,69.35907153109108
31,7.0,-8.0,126.0,71.5315122007013
32,7.0,-8.0,130.0,67.05733279667594
33,7.0,-8.0,134.0,81.64332947102726
34,7.0,-8.0,138.0,72.20529194513931
35,7.0,-8.0,142.0,90.32220470253627
36,7.0,-8.0,146.0,80.69680900626203
37,7.0,-8.0,150.0,75.93073470806226
38,7.0,-8.0,154.0,76.87882859059958
39,7.0,-8.0,158.0,76.75883815361861
40,7.0,-8.0,162.0,74.15851609201192
41,7.0,-8.0,166.0,108.30145928657497
42,7.0,-8.0,170.0,82.7896924512984
43,7.0,-8.0,174.0,79.94943228961647
44,7.0,-8.0,178.0,91.13374778789816
45,7.0,-8.0,182.0,74.26161079434218
46,7.0,-8.0,186.0,91.02524137129883
47,7.0,-8.0,190.0,91.44569862078936
48,7.0,-8.0,194.0,83.19634875387916
49,7.0,-8.0,198.0,94.34150829811722
50,7.0,-8.0,202.0,79.129615045498
51,7.0,-8.0,206.0,80.330146829569
52,7.0,-8.0,210.0,87.99143053436404
53,7.0,-8.0,214.0,83.38394598725371
54,7.0,-8.0,218.0,78.41489805209322
55,7.0,-8.0,222.0,97.9602046115404
56,7.0,-8.0,226.0,82.02455614049137
57,7.0,-8.0,230.0,82.18126353573001
58,7.0,-8.0,234.0,94.04489687116872
59,7.0,-8.0,238.0,75.79822357914337
60,7.0,-8.0,242.0,88.43610701829986
61,7.0,-8.0,246.0,79.14215779379248
62,7.0,-8.0,250.0,77.09702962903675
63,7.0,-8.0,254.0,80.20807046296181
64,7.0,-8.0,258.0,84.11750369457802
65,7.0,-8.0,262.0,82.19410969301761
66,7.0,-8.0,266.0,69.11863924083582
67,7.0,-8.0,270.0,68.05622539932479
68,7.0,-8.0,274.0,77.25110764215695
69,7.0,-8.0,278.0,79.43173228086796
70,7.0,-8.0,282.0,76.23535883820227
71,7.0,-8.0,286.0,88.35637774763269
72,7.0,-8.0,290.0,75.54209210681898
73,7.0,-8.0,294.0,86.3045496345602
74,7.0,-8.0,298.0,90.81623355652104
75,7.0,-8.0,302.0,90.33743529996367
76,7.0,-8.0,306.0,73.22554305310193
77,7.0,-8.0,310.0,80.0187687058895
78,7.0,-8.0,314.0,80.67011105639607
79,7.0,-8.0,318.0,72.56979114156677
80,7.0,-8.0,322.0,79.52531759084485
81,7.0,-8.0,326.0,95.91483942655726
82,7.0,-8.0,330.0,72.24514771659426
83,7.0,-8.0,334.0,85.95501827984283
84,7.0,-8.0,338.0,81.80814015064018
85,7.0,-8.0,342.0,81.01047283320662
86,7.0,-8.0,346.0,90.11241138031455
87,7.0,-8.0,350.0,87.06759332761253
88,7.0,-8.0,354.0,84.03579539510442
89,7.0,-8.0,358.0,93.77825876259287
90,7.0,-8.0,362.0,85.61261475380998
91,7.0,-8.0,366.0,79.06104800914258
92,7.0,-8.0,370.0,78.98847415402952
93,7.0,-8.0,374.0,96.7633808249494
94,7.0,-8.0,378.0,72.06348284642894
95,7.0,-8.0,382.0,100.4034604825518
96,7.0,-8.0,386.0,77.86516072337679
97,7.0,-8.0,390.0,80.42016859460304
98,7.0,-8.0,394.0,91.08623524037938
99,7.0,-8.0,398.0,82.23937191254895
100,7.0,-8.0,402.0,85.30411376378
101,7.0,-8.0,406.0,59.374688159883405
0,7.0,-10.0,2.0,49.33148618886639
1,7.0,-10.0,6.0,81.47629223168542
2,7.0,-10.0,10.0,79.95866366704134
3,7.0,-10.0,14.0,57.55857665608224
4,7.0,-10.0,18.0,83.06923157133066
5,7.0,-10.0,22.0,61.10725004656003
6,7.0,-10.0,26.0,53.67262313353911
7,7.0,-10.0,30.0,56.67660383246514
8,7.0,-10.0,34.0,50.18322265002144
9,7.0,-10.0,38.0,36.074032642039555
10,7.0,-10.0,42.0,23.138693963542313
11,7.0,-10.0,46.0,19.195560592137756
12,7.0,-10.0,50.0,15.977299297830005
13,7.0,-10.0,54.0,26.824119251615386
14,7.0,-10.0,58.0,22.65458580851105
15,7.0,-10.0,62.0,5.7476431869945
16,7.0,-10.0,66.0,23.33973767466093
17,7.0,-10.0,70.0,24.150563016785487
18,7.0,-10.0,74.0,4.673828675582298
19,7.0,-10.0,78.0,26.755595511010522
20,7.0,-10.0,82.0,12.965713805509838
21,7.0,-10.0,86.0,9.212992236569283
22,7.0,-10.0,90.0,24.837463213606757
23,7.0,-10.0,94.0,17.043727637141746
24,7.0,-10.0,98.0,15.123556509074543
25,7.0,-10.0,102.0,18.050787312156313
26,7.0,-10.0,106.0,39.22758390197263
27,7.0,-10.0,110.0,38.455941983985944
28,7.0,-10.0,114.0,48.570604674857655
29,7.0,-10.0,118.0,48.85197901790295
30,7.0,-10.0,122.0,48.58088832160117
31,7.0,-10.0,126.0,71.0657445599399
