,bw,loglambda,contam_data,IFnorm,IFnorm_lim
16,5.0,-12.0,210.0,13597.216867136163,16001.086694267367
17,5.0,-12.0,220.0,13693.313676814745,16001.086694267367
18,5.0,-12.0,230.0,13782.314559980467,16001.086694267367
19,5.0,-12.0,240.0,13864.935111678282,16001.086694267367
20,5.0,-12.0,250.0,13941.805962867315,16001.086694267367
21,5.0,-12.0,260.0,14013.48306036465,16001.086694267367
22,5.0,-12.0,270.0,14080.457086990276,16001.086694267367
23,5.0,-12.0,280.0,14143.16186294035,16001.086694267367
24,5.0,-12.0,290.0,14201.981720794749,16001.086694267367
25,5.0,-12.0,300.0,14257.257919129072,16001.086694267367
26,5.0,-12.0,310.0,14309.294189961223,16001.086694267367
27,5.0,-12.0,320.0,14358.361523281215,16001.086694267367
28,5.0,-12.0,330.0,14404.702288725399,16001.086694267367
29,5.0,-12.0,340.0,14448.53378610167,16001.086694267367
30,5.0,-12.0,350.0,14490.051306203302,16001.086694267367
31,5.0,-12.0,360.0,14529.43077286635,16001.086694267367
32,5.0,-12.0,370.0,14566.831027365537,16001.086694267367
33,5.0,-12.0,380.0,14602.39580736772,16001.086694267367
34,5.0,-12.0,390.0,14636.255464877477,16001.086694267367
35,5.0,-12.0,400.0,14668.528460891006,16001.086694267367
36,5.0,-12.0,410.0,14699.322668735847,16001.086694267367
37,5.0,-12.0,420.0,14728.736513203852,16001.086694267367
38,5.0,-12.0,430.0,14756.859968468221,16001.086694267367
39,5.0,-12.0,440.0,14783.775434304127,16001.086694267367
40,5.0,-12.0,450.0,14809.558507207768,16001.086694267367
41,5.0,-12.0,460.0,14834.278660545637,16001.086694267367
42,5.0,-12.0,470.0,14857.99984579013,16001.086694267367
43,5.0,-12.0,480.0,14880.781025147011,16001.086694267367
44,5.0,-12.0,490.0,14902.6766444019,16001.086694267367
45,5.0,-12.0,500.0,14923.737053562454,16001.086694267367
0,7.0,-8.0,50.0,33.03321425922089,182.11226740659683
1,7.0,-8.0,60.0,27.43468273113325,182.11226740659683
